"TIME","GEO","S_ADJ","AGE","UNIT","SEX","Value","Flag and Footnotes"
"2008M08","Germany (until 1990 former territory of the FRG)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.1",""
"2008M08","Estonia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.3",""
"2008M08","Ireland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.0",""
"2008M08","Greece","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.6",""
"2008M08","Spain","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","11.5",""
"2008M08","France","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.5",""
"2008M08","Croatia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.5",""
"2008M08","Italy","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.8",""
"2008M08","Cyprus","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","3.5",""
"2008M08","Latvia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.7",""
"2008M08","Lithuania","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.4",""
"2008M08","Luxembourg","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.1",""
"2008M08","Hungary","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.8",""
"2008M08","Malta","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.1",""
"2008M08","Netherlands","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","3.6",""
"2008M08","Austria","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.1",""
